control_type,frequency,test
centralised,180,3
centralised,220,1
centralised,220,3
centralised,260,1
centralised,260,2
centralised,260,3
centralised,260,4
centralised,320,1
centralised,320,2
centralised,330,1
centralised,370,3
distributed,180,2
distributed,220,1
distributed,220,2
distributed,260,1
distributed,260,2
distributed,300,1
distributed,300,2
distributed,300,3
distributed,350,1
distributed,370,2
distributed,370,3
distributed,400,2
distributed,400,3
distributed,500,1
distributed,800,1
distributed,1000,1
distributed,1040,1
distributed,1120,1
distributed,1160,1
distributed,1200,2
distributed,1400,1
distributed,1440,1
distributed,1480,1
distributed,1600,1
distributed,1800,1
distributed,2000,1