control_type,frequency,test,start,finish
centralised,180,3,0,1400
centralised,220,1,0,1400
centralised,220,3,0,1200
centralised,260,1,100,1300
centralised,260,2,0,1400
centralised,260,3,0,1400
centralised,260,4,0,1400
centralised,320,1,0,1400
centralised,320,2,0,1400
centralised,370,3,0,1400
distributed,180,2,0,1400
distributed,220,1,0,1400
distributed,220,2,0,1400
distributed,260,2,0,1400
distributed,300,1,0,1400
distributed,300,2,0,1400
distributed,300,3,0,1400
distributed,350,1,0,1400
distributed,370,2,0,1400
distributed,370,3,0,1400
distributed,400,2,0,1400
distributed,400,3,0,1200
distributed,500,1,0,1400
distributed,800,1,0,1000
distributed,1000,1,0,1400
distributed,1040,1,0,1400
distributed,1120,1,0,1400
distributed,1160,1,200,1400
distributed,1200,2,250,1400
distributed,1400,1,200,1400
distributed,1440,1,200,1400
distributed,1480,1,0,1400
distributed,1600,1,200,1400
distributed,1800,1,200,1400
distributed,2000,1,0,1400